Time,X(CH1),X(CH2),
Second,Volt,Volt,
2.2697754e+01,6.16000e+00,4.08000e+00,
2.2705078e+01,6.24000e+00,4.40000e+00,
2.2712402e+01,6.16000e+00,4.08000e+00,
2.2719727e+01,6.24000e+00,4.16000e+00,
2.2727051e+01,6.16000e+00,4.40000e+00,
2.2734375e+01,6.16000e+00,4.00000e+00,
2.2741699e+01,6.24000e+00,4.40000e+00,
2.2749023e+01,6.24000e+00,4.32000e+00,
2.2756348e+01,6.24000e+00,4.00000e+00,
2.2763672e+01,6.24000e+00,4.40000e+00,
2.2770996e+01,6.16000e+00,4.16000e+00,
2.2778320e+01,6.24000e+00,4.08000e+00,
2.2785645e+01,6.24000e+00,4.40000e+00,
2.2792969e+01,6.24000e+00,4.08000e+00,
2.2800293e+01,6.24000e+00,4.16000e+00,
2.2807617e+01,6.24000e+00,4.32000e+00,
2.2814941e+01,6.24000e+00,3.92000e+00,
2.2822266e+01,6.24000e+00,4.24000e+00,
2.2829590e+01,6.32000e+00,4.24000e+00,
2.2836914e+01,6.24000e+00,4.00000e+00,
2.2844238e+01,6.24000e+00,4.40000e+00,
2.2851563e+01,6.24000e+00,4.08000e+00,
2.2858887e+01,6.32000e+00,4.08000e+00,
2.2866211e+01,6.32000e+00,4.40000e+00,
2.2873535e+01,6.32000e+00,4.08000e+00,
2.2880859e+01,6.32000e+00,4.16000e+00,
2.2888184e+01,6.32000e+00,4.32000e+00,
2.2895508e+01,6.32000e+00,3.92000e+00,
2.2902832e+01,6.32000e+00,4.32000e+00,
2.2910156e+01,6.32000e+00,4.24000e+00,
2.2917480e+01,6.32000e+00,3.92000e+00,
2.2924805e+01,6.32000e+00,4.40000e+00,
2.2932129e+01,6.32000e+00,4.08000e+00,
2.2939453e+01,6.32000e+00,4.08000e+00,
2.2946777e+01,6.32000e+00,4.40000e+00,
2.2954102e+01,6.32000e+00,4.00000e+00,
2.2961426e+01,6.32000e+00,4.24000e+00,
2.2968750e+01,6.24000e+00,4.32000e+00,
2.2976074e+01,6.32000e+00,4.00000e+00,
2.2983398e+01,6.40000e+00,4.40000e+00,
2.2990723e+01,6.32000e+00,4.16000e+00,
